u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
6471698381,82913514,0,689829426,tertiary,True,27.375999999999998,,"LINESTRING (-111.819312 41.7405477, -111.8192649 41.7405455, -111.8192186 41.7405518, -111.8191756 41.7405662, -111.8191384 41.7405878, -111.8191092 41.7406154, -111.8190897 41.7406474, -111.819081 41.740682)",45.2,52.1,2.2,0.043,0.043,48078.10450767108,,,,,roundabout,,
82913516,82920973,0,10084115,residential,False,48.251000000000005,600 East,"LINESTRING (-111.8193871 41.7388109, -111.819392 41.7386875, -111.8194062 41.7383772)",41.6,181.9,4.2,0.01,0.01,76403.33236904761,,,,,,,
82913516,6471698381,0,182952348,tertiary,False,193.224,600 East,"LINESTRING (-111.8193871 41.7388109, -111.819382 41.7389275, -111.8193459 41.7397609, -111.8193168 41.7404368, -111.819312 41.7405477)",45.2,1.8,15.4,0.005,0.005,332261.811094479,,,,,,,
82913516,82922386,0,"[954776993, 954776995, 954776996]",trunk,False,209.151,400 North,"LINESTRING (-111.8193871 41.7388109, -111.8195261 41.7388134, -111.820209 41.7388257, -111.820366 41.7388285, -111.8209929 41.7388398, -111.8219071 41.7388563)",64.4,271.4,11.7,-0.026,0.026,531223.9974215936,"['5', '4']",40 mph,US 89;UT 30,,,,
82913516,321801636,0,"[954777000, 1103018269]",trunk,False,128.874,400 North,"LINESTRING (-111.8193871 41.7388109, -111.819227 41.7388081, -111.8187763 41.7388005, -111.8180571 41.7387867, -111.8178343 41.7387846)",64.4,91.3,7.2,0.031,0.031,328925.21541012725,"['5', '4']",40 mph,US 89;UT 30,,,,
321801636,321801635,0,29262660,residential,False,52.217999999999996,,"LINESTRING (-111.8178343 41.7387846, -111.8178267 41.7386875, -111.8178343 41.7383152)",41.6,180.0,4.5,-0.021,0.021,82528.3814978464,,,,,,,
321801636,82913516,0,"[954777000, 1103018269]",trunk,False,128.874,400 North,"LINESTRING (-111.8178343 41.7387846, -111.8180571 41.7387867, -111.8187763 41.7388005, -111.819227 41.7388081, -111.8193871 41.7388109)",64.4,271.3,7.2,-0.031,0.031,328179.8847007372,"['5', '4']",40 mph,US 89;UT 30,,,,
321801636,775507728,0,1103018269,trunk,False,90.13,400 North,"LINESTRING (-111.8178343 41.7387846, -111.8175699 41.7387822, -111.8175211 41.7387817, -111.8173451 41.7387807, -111.8167488 41.7387587)",64.4,91.8,5.0,0.058,0.058,231074.2227112193,4,40 mph,US 89;UT 30,,,,
775507728,775507730,0,62162750,residential,False,74.801,700 East,"LINESTRING (-111.8167488 41.7387587, -111.8167814 41.7386443, -111.8168114 41.7383631, -111.8168273 41.7380897)",41.6,185.0,6.5,-0.005,0.005,117978.37096757429,,,,,,,
775507728,321797049,0,"[954778601, 954778602]",trunk,False,605.466,,"LINESTRING (-111.8167488 41.7387587, -111.8162831 41.7386878, -111.8157547 41.7386212, -111.8152257 41.738572, -111.8147325 41.7386175, -111.8141972 41.7387189, -111.8135692 41.7389703, -111.8121525 41.739558, -111.8113699 41.7398675, -111.8111237 41.7399463, -111.8109177 41.7400104, -111.8104628 41.7401513, -111.809995 41.7402847)",64.4,73.2,33.8,0.055,0.055,1534317.8428007683,"['5', '4']",40 mph,US 89;UT 30,,,,
775507728,321801636,0,1103018269,trunk,False,90.13,400 North,"LINESTRING (-111.8167488 41.7387587, -111.8173451 41.7387807, -111.8175211 41.7387817, -111.8175699 41.7387822, -111.8178343 41.7387846)",64.4,271.8,5.0,-0.058,0.058,230064.52139351994,4,40 mph,US 89;UT 30,,,,
321797049,321797036,0,29261998,unclassified,False,650.402,Champ Drive,"LINESTRING (-111.809995 41.7402847, -111.8100605 41.7404198, -111.8101084 41.7404827, -111.81023 41.7405379, -111.8106993 41.7405412, -111.8108669 41.7405262, -111.8109847 41.7404662, -111.8111909 41.7402858, -111.8113426 41.740243, -111.8115739 41.7402991, -111.81278 41.7403074, -111.813158 41.7403125, -111.8132224 41.7402932, -111.8132668 41.7402572, -111.813277 41.7402017, -111.8132811 41.7401813, -111.8132912 41.7401712, -111.8133371 41.7401251, -111.8134792 41.740123, -111.8138642 41.7401172, -111.8140363 41.7401207, -111.814138 41.7401204, -111.8144135 41.7401219, -111.8145613 41.7401577, -111.8146612 41.740226, -111.8147163 41.7403007, -111.814733 41.7405198, -111.8147412 41.7409656, -111.8146701 41.7411288, -111.8144821 41.7412691, -111.8143601 41.7413584, -111.8143083 41.7414434, -111.814279 41.7415257, -111.814262 41.7416657, -111.814244 41.7418659, -111.8142781 41.7419266, -111.8143743 41.7420244)",48.7,298.0,48.1,-0.002,0.002,1210402.3829585286,2,,,,,,
321797049,775507728,0,"[954778601, 954778602]",trunk,False,605.466,,"LINESTRING (-111.809995 41.7402847, -111.8104628 41.7401513, -111.8109177 41.7400104, -111.8111237 41.7399463, -111.8113699 41.7398675, -111.8121525 41.739558, -111.8135692 41.7389703, -111.8141972 41.7387189, -111.8147325 41.7386175, -111.8152257 41.738572, -111.8157547 41.7386212, -111.8162831 41.7386878, -111.8167488 41.7387587)",64.4,253.2,33.8,-0.055,0.055,1533378.437481447,"['5', '4']",40 mph,US 89;UT 30,,,,
321797049,82912375,0,"[182952353, 954778604, 954778605, 954778606]",trunk,False,562.593,,"LINESTRING (-111.809995 41.7402847, -111.8091988 41.74045, -111.8082581 41.7406775, -111.8075897 41.7408287, -111.8069793 41.7410229, -111.8064563 41.7412799, -111.8056928 41.7417227, -111.804128 41.7426642)",64.4,61.5,31.4,0.009,0.009,1425642.946511542,"['5', '4']",40 mph,US 89;UT 30,,,,
321797036,321797049,0,29261998,unclassified,False,650.4019999999998,Champ Drive,"LINESTRING (-111.8143743 41.7420244, -111.8142781 41.7419266, -111.814244 41.7418659, -111.814262 41.7416657, -111.814279 41.7415257, -111.8143083 41.7414434, -111.8143601 41.7413584, -111.8144821 41.7412691, -111.8146701 41.7411288, -111.8147412 41.7409656, -111.814733 41.7405198, -111.8147163 41.7403007, -111.8146612 41.740226, -111.8145613 41.7401577, -111.8144135 41.7401219, -111.814138 41.7401204, -111.8140363 41.7401207, -111.8138642 41.7401172, -111.8134792 41.740123, -111.8133371 41.7401251, -111.8132912 41.7401712, -111.8132811 41.7401813, -111.813277 41.7402017, -111.8132668 41.7402572, -111.8132224 41.7402932, -111.813158 41.7403125, -111.81278 41.7403074, -111.8115739 41.7402991, -111.8113426 41.740243, -111.8111909 41.7402858, -111.8109847 41.7404662, -111.8108669 41.7405262, -111.8106993 41.7405412, -111.81023 41.7405379, -111.8101084 41.7404827, -111.8100605 41.7404198, -111.809995 41.7402847)",48.7,118.0,48.1,0.002,0.002,1210658.5314486134,2,,,,,,
