u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
82918748,82911268,0,10083920,unclassified,False,486.565,West 1600 South,"LINESTRING (-111.8530487 41.7051909, -111.8532382 41.7051621, -111.8537267 41.7050883, -111.854585 41.7050627, -111.8548168 41.7050605, -111.8552631 41.7050563, -111.8554487 41.7050461, -111.8555775 41.705039, -111.8559172 41.7049918, -111.8559452 41.7049879, -111.8562072 41.7049217, -111.8563352 41.7048809, -111.8566084 41.7047939, -111.856826 41.7046774, -111.8569665 41.7045908, -111.8575789 41.704148, -111.8577929 41.7039923, -111.8580439 41.7038591, -111.8583372 41.703762)",48.7,250.1,36.0,-0.002,0.002,905866.1174593829,,,,,,,
82918748,82882716,0,"[10080078, 10084726]",tertiary,False,240.622,South 800 West,"LINESTRING (-111.8530487 41.7051909, -111.852944 41.7047811, -111.8528655 41.7045248, -111.8528303 41.7043919, -111.8526812 41.7041564, -111.8523914 41.7039506, -111.8522022 41.7037976, -111.851811 41.7035584, -111.8516 41.7034295)",45.2,148.4,19.2,0.003,0.003,413614.9616253344,,,,,,,
82918748,82934727,0,"[943712985, 10086210, 464939291]",tertiary,False,899.058,"['Park Avenue', 'South 800 West']","LINESTRING (-111.8530487 41.7051909, -111.8530688 41.7052936, -111.8531264 41.7055766, -111.8531383 41.7058334, -111.853124 41.7062109, -111.8531157 41.7064182, -111.852845 41.7132686)",45.2,1.1,71.6,0.001,0.001,1542603.7171854773,,,,yes,,,
82882716,82918748,0,"[10084726, 10080078]",tertiary,False,240.622,South 800 West,"LINESTRING (-111.8516 41.7034295, -111.851811 41.7035584, -111.8522022 41.7037976, -111.8523914 41.7039506, -111.8526812 41.7041564, -111.8528303 41.7043919, -111.8528655 41.7045248, -111.852944 41.7047811, -111.8530487 41.7051909)",45.2,328.4,19.2,-0.003,0.003,413465.0421235863,,,,,,,
82882716,82913988,0,351716598,tertiary,False,456.686,1700 South,"LINESTRING (-111.8516 41.7034295, -111.851407 41.7033017, -111.851197 41.7032156, -111.8510347 41.7031836, -111.849673 41.7031423, -111.8492853 41.7031348, -111.8489021 41.7031274, -111.8488029 41.7031255, -111.8484062 41.7030935, -111.8482788 41.7030749, -111.8477859 41.7029283, -111.8475613 41.7028802, -111.8462661 41.7027369)",45.2,99.9,36.4,0.002,0.002,784100.6853786256,,,,,,,
82882716,82927661,0,782815705,trunk,False,636.386,,"LINESTRING (-111.8516 41.7034295, -111.851451 41.7035392, -111.8495251 41.7049533, -111.849128 41.7052394, -111.8461075 41.7074219)",77.7,45.8,29.5,0.001,0.001,1991934.8834329052,4,,US 89;US 91,,,,
82882716,82911248,0,782815705,trunk,False,384.933,,"LINESTRING (-111.8516 41.7034295, -111.85172 41.7033431, -111.8549198 41.7010128)",77.7,225.7,17.8,0.004,0.004,1206813.447070556,4,,US 89;US 91,,,,
82913988,82913989,0,10083238,unclassified,False,172.61700000000002,Blacksmith Court,"LINESTRING (-111.8462661 41.7027369, -111.8463345 41.702375, -111.8463404 41.7020068, -111.8463548 41.7011882)",48.7,182.4,12.8,0.002,0.002,322184.4601507513,,,,,,,
82913988,82882716,0,351716598,tertiary,False,456.686,1700 South,"LINESTRING (-111.8462661 41.7027369, -111.8475613 41.7028802, -111.8477859 41.7029283, -111.8482788 41.7030749, -111.8484062 41.7030935, -111.8488029 41.7031255, -111.8489021 41.7031274, -111.8492853 41.7031348, -111.849673 41.7031423, -111.8510347 41.7031836, -111.851197 41.7032156, -111.851407 41.7033017, -111.8516 41.7034295)",45.2,279.9,36.4,-0.002,0.002,784012.4708480906,,,,,,,
82913988,82938922,0,"[943712984, 351716598, 351716599]",tertiary,False,420.43500000000006,1700 South,"LINESTRING (-111.8462661 41.7027369, -111.8455299 41.7026661, -111.8450953 41.7026452, -111.844155 41.7026975, -111.8426238 41.702817, -111.8418899 41.702861, -111.841223 41.7028347)",45.2,88.5,33.5,0.004,0.004,721931.0330443523,,,,yes,,,
82938922,82925334,0,10084595,tertiary,False,526.447,300 South,"LINESTRING (-111.841223 41.7028347, -111.8390753 41.7027917, -111.8375669 41.7027615, -111.834884 41.7027078)",45.2,91.5,41.9,0.009,0.009,903745.9926060014,,,,,,,
82938922,82910979,0,"[351716578, 351716579, 10082834]",residential,False,479.436,Talon Drive,"LINESTRING (-111.841223 41.7028347, -111.8412201 41.70293, -111.8412121 41.7032756, -111.8412074 41.7034676, -111.8411922 41.7040848, -111.8411877 41.704265, -111.8411752 41.7047739, -111.8411725 41.7048822, -111.8411711 41.7049377, -111.8411656 41.7051622, -111.8411596 41.705429, -111.8411597 41.7056224, -111.8411564 41.705921, -111.8411548 41.7061046, -111.8411512 41.7065192, -111.8411496 41.7066964, -111.8411457 41.7071459)",41.6,0.8,41.5,0.002,0.002,752367.6192250067,,,,yes,,,
82938922,82913988,0,"[943712984, 351716598, 351716599]",tertiary,False,420.43500000000006,1700 South,"LINESTRING (-111.841223 41.7028347, -111.8418899 41.702861, -111.8426238 41.702817, -111.844155 41.7026975, -111.8450953 41.7026452, -111.8455299 41.7026661, -111.8462661 41.7027369)",45.2,268.5,33.5,-0.004,0.004,721851.6772859535,,,,yes,,,
82925334,82938922,0,10084595,tertiary,False,526.447,300 South,"LINESTRING (-111.834884 41.7027078, -111.8375669 41.7027615, -111.8390753 41.7027917, -111.841223 41.7028347)",45.2,271.5,41.9,-0.009,0.009,903626.1629397817,,,,,,,
82925334,82922871,0,10084595,tertiary,False,396.373,300 South,"LINESTRING (-111.834884 41.7027078, -111.833532 41.7026925, -111.8313122 41.7026518, -111.8304521 41.7026361, -111.8301107 41.7026298)",45.2,91.3,31.6,0.011,0.011,680695.2489837396,,,,,,,
