u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
8142025946,82917877,0,"[10083784, 1007846356, 1007846357]",tertiary,False,1682.593,3200 West,"LINESTRING (-111.911751 41.765112, -111.911751 41.7677124, -111.911763 41.7707478, -111.9117579 41.7709664, -111.9117758 41.7738904, -111.9117876 41.7757325, -111.9118118 41.7793683, -111.9117901 41.7802436)",45.1,359.9,134.3,0.001,0.001,2879331.437430402,,,,yes,,,
8142025946,82917869,0,10083784,tertiary,False,2614.504,3200 West,"LINESTRING (-111.911751 41.765112, -111.9116745 41.7578266, -111.9116617 41.7560987, -111.911624 41.7483264, -111.9115632 41.7418392, -111.9115615 41.7415997)",45.1,179.7,208.7,-0.0,0.0,4473709.0121055115,,,,,,,
8142025946,82885713,0,10085422,residential,False,740.412,1800 North,"LINESTRING (-111.911751 41.765112, -111.9104187 41.7651076, -111.9067545 41.7651334, -111.902824 41.765114)",41.6,90.0,64.1,0.001,0.001,1161615.2404826095,,,,,,,
82917877,82910951,0,10084676,unclassified,False,731.676,West 2600 North,"LINESTRING (-111.9117901 41.7802436, -111.9127342 41.7802439, -111.9130755 41.780244, -111.9134333 41.7802441, -111.9186079 41.7802458, -111.9206141 41.7802464)",48.6,270.0,54.2,0.001,0.001,1358580.8854438518,2,,,,,,
82917877,82917883,0,1007846356,tertiary,False,654.223,3200 West,"LINESTRING (-111.9117901 41.7802436, -111.9117713 41.7808974, -111.911742 41.7830819, -111.9117431 41.7861269)",45.1,0.3,52.2,-0.0,0.0,1120050.9430076692,,,,,,,
82917877,8142025946,0,"[10083784, 1007846356, 1007846357]",tertiary,False,1682.5929999999998,3200 West,"LINESTRING (-111.9117901 41.7802436, -111.9118118 41.7793683, -111.9117876 41.7757325, -111.9117758 41.7738904, -111.9117579 41.7709664, -111.911763 41.7707478, -111.911751 41.7677124, -111.911751 41.765112)",45.1,179.9,134.3,-0.001,0.001,2879444.868292406,,,,yes,,,
82917883,82916351,0,"[10085737, 37110659, 10085587]",tertiary,False,1249.4900000000005,"['West 3200 North', 'North 3000 West', 'North 3200 West']","LINESTRING (-111.9117431 41.7861269, -111.9117465 41.7867536, -111.9117561 41.7884947, -111.9117654 41.79009, -111.9117667 41.7901903, -111.9117527 41.7902996, -111.9116979 41.7903968, -111.9116095 41.7904601, -111.9114409 41.7904985, -111.9091312 41.7908033, -111.9086645 41.7909087, -111.9081536 41.7910596, -111.9077502 41.7912179, -111.9075694 41.7913233, -111.9074444 41.7913964, -111.907246 41.7915718, -111.9070155 41.7918431, -111.9068273 41.7921468, -111.9066593 41.7924405, -111.9062709 41.7932549, -111.9061538 41.7936193, -111.906054 41.7940147, -111.90586 41.7947384)",56.3,27.0,79.9,0.001,0.001,2724697.8560275687,2,35 mph,,,,,
82917883,82936352,0,782855018,tertiary,False,1660.8160000000003,West 3000 North,"LINESTRING (-111.9117431 41.7861269, -111.9137086 41.7860693, -111.9143438 41.7859605, -111.9148416 41.7859349, -111.9149706 41.7859456, -111.9153823 41.7859797, -111.9191331 41.7859221, -111.9194421 41.7859029, -111.9196567 41.7858581, -111.919794 41.7858133, -111.9204721 41.7854485, -111.9209658 41.7852966, -111.9213647 41.7852565, -111.9217727 41.785239, -111.9224548 41.7852757, -111.9228278 41.7853479, -111.922984 41.7854145, -111.9231416 41.7854939, -111.9232424 41.7855579, -111.9234519 41.785691, -111.9237382 41.7858726, -111.9250019 41.7867997, -111.9252397 41.7869827, -111.9255805 41.7872436, -111.9257154 41.7873305, -111.9258608 41.7873937, -111.9260807 41.7874278, -111.9267684 41.7874204, -111.9270693 41.7874171, -111.930437 41.7874457)",45.1,275.4,132.6,0.0,0.0,2842102.7095403406,,,,,,,
82917883,82917877,0,1007846356,tertiary,False,654.2230000000001,3200 West,"LINESTRING (-111.9117431 41.7861269, -111.911742 41.7830819, -111.9117713 41.7808974, -111.9117901 41.7802436)",45.1,180.3,52.2,0.0,0.0,1120170.8773882003,,,,,,,
82916351,82916353,0,37110652,secondary,False,1107.972,West 3400 North,"LINESTRING (-111.90586 41.7947384, -111.892495 41.7947863)",64.6,89.7,61.7,0.001,0.001,2814450.0762638506,2,,,,,,
82916351,82916212,0,"[10085736, 10083588, 747194334]",secondary,False,1012.921,"['West 3800 North', 'North 3000 West']","LINESTRING (-111.90586 41.7947384, -111.9058772 41.7951415, -111.9059036 41.7956711, -111.9059131 41.7958612, -111.9059201 41.795999, -111.9059907 41.7964175, -111.906058 41.796816, -111.906169 41.7972595, -111.9063492 41.7977266, -111.9065638 41.7981234, -111.9068556 41.7986161, -111.9073964 41.7995502, -111.90755 41.799791, -111.9079285 41.8002861, -111.9081946 41.8004972, -111.9086238 41.8007276, -111.9089585 41.8008299, -111.9092009 41.8008666, -111.9095078 41.8009131, -111.9100743 41.8009899, -111.9120141 41.801233)",64.6,324.8,56.4,-0.003,0.003,2573038.5030731554,2,,,yes,,,
82916351,82917883,0,"[10085737, 10085587, 37110659]",tertiary,False,1249.4899999999998,"['West 3200 North', 'North 3000 West', 'North 3200 West']","LINESTRING (-111.90586 41.7947384, -111.906054 41.7940147, -111.9061538 41.7936193, -111.9062709 41.7932549, -111.9066593 41.7924405, -111.9068273 41.7921468, -111.9070155 41.7918431, -111.907246 41.7915718, -111.9074444 41.7913964, -111.9075694 41.7913233, -111.9077502 41.7912179, -111.9081536 41.7910596, -111.9086645 41.7909087, -111.9091312 41.7908033, -111.9114409 41.7904985, -111.9116095 41.7904601, -111.9116979 41.7903968, -111.9117527 41.7902996, -111.9117667 41.7901903, -111.9117654 41.79009, -111.9117561 41.7884947, -111.9117465 41.7867536, -111.9117431 41.7861269)",56.3,207.0,79.9,-0.001,0.001,2724821.841175076,2,35 mph,,,,,
82916353,82916351,0,37110652,secondary,False,1107.972,West 3400 North,"LINESTRING (-111.892495 41.7947863, -111.90586 41.7947384)",64.6,269.7,61.7,-0.001,0.001,2814341.93546149,2,,,,,,
82916353,82934923,0,10085896,residential,False,3788.4770000000003,2400 West,"LINESTRING (-111.892495 41.7947863, -111.8924899 41.7941841, -111.8924849 41.7935967, -111.8924047 41.7841581, -111.8923937 41.7828741, -111.8922428 41.7650191, -111.8922212 41.7633114, -111.8924064 41.7632225, -111.8924132 41.7607918)",41.6,179.9,327.8,-0.0,0.0,5940668.518527053,,,,,,,
82916353,82916355,0,37110652,secondary,False,46.233000000000004,West 3400 North,"LINESTRING (-111.892495 41.7947863, -111.8921556 41.7947886, -111.8919374 41.7947839)",64.6,90.3,2.6,0.004,0.004,120049.00620686616,2,,,,,,
82916355,82916357,0,37110652,secondary,False,26.114,West 3400 North,"LINESTRING (-111.8919374 41.7947839, -111.8916225 41.79479)",64.6,88.5,1.5,0.012,0.012,69027.51122726251,2,,,,,,
82916355,82932063,0,36821841,secondary,False,43.506,Airport Road,"LINESTRING (-111.8919374 41.7947839, -111.8917312 41.7947404, -111.89162 41.7946987, -111.8914659 41.794621)",64.6,114.9,2.4,0.007,0.007,113190.58078491178,,,,,,,
82916355,82916353,0,37110652,secondary,False,46.233000000000004,West 3400 North,"LINESTRING (-111.8919374 41.7947839, -111.8921556 41.7947886, -111.892495 41.7947863)",64.6,270.3,2.6,-0.004,0.004,119908.8736473174,2,,,,,,
82916357,82932063,0,10085906,tertiary,False,22.84,2400 West,"LINESTRING (-111.8916225 41.79479, -111.8914659 41.794621)",45.1,145.4,1.8,-0.001,0.001,40036.52535152896,2,,,,,,
82916357,82928824,0,10085906,tertiary,False,1552.619,2400 West,"LINESTRING (-111.8916225 41.79479, -111.89159 41.808753)",45.1,0.1,123.9,0.002,0.002,2656982.7727793343,2,,,,,,
82916357,82916355,0,37110652,secondary,False,26.114,West 3400 North,"LINESTRING (-111.8916225 41.79479, -111.8919374 41.7947839)",64.6,268.5,1.5,-0.012,0.012,68816.73245892518,2,,,,,,
82916357,82904692,0,"[747191779, 10082204]",residential,False,3041.925,3400 North,"LINESTRING (-111.8916225 41.79479, -111.867491 41.7948007, -111.8671741 41.7949095, -111.8669509 41.7950183, -111.8650611 41.7966669, -111.8647143 41.796762, -111.8637905 41.796866, -111.862374 41.797222, -111.8591666 41.7981852, -111.8588104 41.798408, -111.8576051 41.7995415, -111.8572409 41.7996135)",41.6,79.3,263.2,0.001,0.001,4770120.35856686,2,,,,,,
82932063,82916357,0,10085906,tertiary,False,22.84,2400 West,"LINESTRING (-111.8914659 41.794621, -111.8916225 41.79479)",45.1,325.4,1.8,0.001,0.001,39916.86184212249,2,,,,,,
82932063,82916355,0,36821841,secondary,False,43.506,Airport Road,"LINESTRING (-111.8914659 41.794621, -111.89162 41.7946987, -111.8917312 41.7947404, -111.8919374 41.7947839)",64.6,294.9,2.4,-0.007,0.007,112927.76516194329,,,,,,,
82932063,82919417,0,36821841,secondary,False,3348.0090000000005,Airport Road,"LINESTRING (-111.8914659 41.794621, -111.8902647 41.7939032, -111.8812217 41.7884948, -111.8796854 41.787586, -111.8780031 41.7865621, -111.8762848 41.7855499, -111.8756513 41.7851733, -111.8746299 41.7845525, -111.8735925 41.7839422, -111.873122 41.783674, -111.8697805 41.7816212, -111.8685577 41.7809226, -111.8680381 41.7806601, -111.8664047 41.7799213, -111.8650684 41.7794259, -111.8641414 41.779125, -111.8629265 41.7788174, -111.8611351 41.7784447, -111.8599153 41.7782635, -111.8583443 41.7781013)",64.6,123.8,186.6,0.001,0.001,8499142.348231867,,,,,,,
82919417,9784284339,0,10085470,primary,False,54.244,Airport Road,"LINESTRING (-111.8583443 41.7781013, -111.8576923 41.7780617)",80.5,94.7,2.4,-0.005,0.005,181544.50604200928,,50 mph,UT 252,,,,
82919417,9784284333,0,782815714,primary,False,48.297,1000 West,"LINESTRING (-111.8583443 41.7781013, -111.8583527 41.777667)",88.5,180.8,2.0,-0.007,0.007,181993.7721736998,3,55 mph,UT 252,,,,
82919417,82932063,0,36821841,secondary,False,3348.0089999999996,Airport Road,"LINESTRING (-111.8583443 41.7781013, -111.8599153 41.7782635, -111.8611351 41.7784447, -111.8629265 41.7788174, -111.8641414 41.779125, -111.8650684 41.7794259, -111.8664047 41.7799213, -111.8680381 41.7806601, -111.8685577 41.7809226, -111.8697805 41.7816212, -111.873122 41.783674, -111.8735925 41.7839422, -111.8746299 41.7845525, -111.8756513 41.7851733, -111.8762848 41.7855499, -111.8780031 41.7865621, -111.8796854 41.787586, -111.8812217 41.7884948, -111.8902647 41.7939032, -111.8914659 41.794621)",64.6,303.8,186.6,-0.001,0.001,8498912.575168863,,,,,,,
9784284339,82919417,0,10085470,primary,False,54.244,Airport Road,"LINESTRING (-111.8576923 41.7780617, -111.8583443 41.7781013)",80.5,274.7,2.4,0.005,0.005,181420.02065327682,,50 mph,UT 252,,,,
9784284339,431593922,0,10085470,primary,False,144.852,Airport Road,"LINESTRING (-111.8576923 41.7780617, -111.8572449 41.7780344, -111.8559478 41.7779991)",80.5,92.8,6.5,0.003,0.003,476160.5385523998,,50 mph,UT 252,,,,
431593922,9784284339,0,10085470,primary,False,144.852,Airport Road,"LINESTRING (-111.8559478 41.7779991, -111.8572449 41.7780344, -111.8576923 41.7780617)",80.5,272.8,6.5,-0.003,0.003,475950.65998080507,,50 mph,UT 252,,,,
431593922,82915517,0,10085470,primary,False,595.1659999999999,Airport Road,"LINESTRING (-111.8559478 41.7779991, -111.8525382 41.7779711, -111.8487708 41.7779401)",80.5,90.6,26.6,0.003,0.003,1940157.7392267967,,50 mph,UT 252,,,,
431593922,431593926,0,37110440,unclassified,False,599.202,,"LINESTRING (-111.8559478 41.7779991, -111.855627 41.780482, -111.8555669 41.7807124, -111.8555069 41.7809044, -111.8552889 41.7812804, -111.854893 41.7819094, -111.8540649 41.7831189)",48.6,15.3,44.4,0.002,0.002,1112774.9077368302,,,,,,,
82915517,431593922,0,10085470,primary,False,595.1659999999999,Airport Road,"LINESTRING (-111.8487708 41.7779401, -111.8525382 41.7779711, -111.8559478 41.7779991)",80.5,270.6,26.6,-0.003,0.003,1939962.3801340696,,50 mph,UT 252,,,,
82915517,82933411,0,10085470,primary,False,829.6010000000001,Airport Road,"LINESTRING (-111.8487708 41.7779401, -111.847391 41.7779189, -111.846973 41.7779101, -111.84481 41.7778563, -111.841779 41.7778185, -111.8387684 41.7777994)",80.5,91.1,37.1,0.006,0.006,2702343.4688065746,,50 mph,UT 252,,,,
82915517,82915511,0,182545465,secondary,False,1410.939,600 West,"LINESTRING (-111.8487708 41.7779401, -111.8489585 41.7748196, -111.8490901 41.7726439, -111.848999 41.77204, -111.8488081 41.7708605, -111.8488183 41.7700969, -111.8488291 41.7693044, -111.8488338 41.7690154, -111.8488554 41.7652691)",64.6,180.3,78.6,0.004,0.004,3583391.191323386,,,,,,,
82933411,82915517,0,10085470,primary,False,829.6009999999999,Airport Road,"LINESTRING (-111.8387684 41.7777994, -111.841779 41.7778185, -111.84481 41.7778563, -111.846973 41.7779101, -111.847391 41.7779189, -111.8487708 41.7779401)",80.5,271.1,37.1,-0.006,0.006,2702108.1405147174,,50 mph,UT 252,,,,
82933411,82937623,0,10085470,primary,False,402.499,Airport Road,"LINESTRING (-111.8387684 41.7777994, -111.8356661 41.7777648, -111.8351912 41.7777595, -111.833915 41.7777453)",80.5,90.9,18.0,0.013,0.013,1313844.9863268745,,50 mph,UT 252,,,,
82933411,2141977635,0,37036027,unclassified,False,629.531,200 West,"LINESTRING (-111.8387684 41.7777994, -111.838708 41.7794932, -111.8386267 41.7809158, -111.838691 41.7818811, -111.8387404 41.7825596, -111.838734 41.7834568)",48.6,0.3,46.6,0.001,0.001,1169031.03641793,,,,,,,
82937623,82931036,0,943678570,primary,False,133.266,North Main Street,"LINESTRING (-111.833915 41.7777453, -111.8339341 41.7765469)",70.8,180.7,6.8,-0.003,0.003,378330.77838904917,4,44 mph,US 91,,,,
82937623,82933411,0,10085470,primary,False,402.499,Airport Road,"LINESTRING (-111.833915 41.7777453, -111.8351912 41.7777595, -111.8356661 41.7777648, -111.8387684 41.7777994)",80.5,270.9,18.0,-0.013,0.013,1313525.473053492,,50 mph,UT 252,,,,
82937623,4552937046,0,782815719,tertiary,False,273.76,2500 North,"LINESTRING (-111.833915 41.7777453, -111.8330443 41.7777435, -111.8321459 41.7777416, -111.8306136 41.7777384)",56.3,90.2,17.5,0.002,0.002,598405.1114695469,,35 mph,,,,,
82937623,82931862,0,943688781,primary,False,255.20299999999997,North Main Street,"LINESTRING (-111.833915 41.7777453, -111.8338949 41.7789066, -111.8338844 41.7795104, -111.8338752 41.7800402)",70.8,0.7,13.0,-0.001,0.001,720900.3373145792,4,44 mph,US 91,,,,
82931036,82937623,0,943678570,primary,False,133.266,North Main Street,"LINESTRING (-111.8339341 41.7765469, -111.833915 41.7777453)",70.8,0.7,6.8,0.003,0.003,378068.2960909204,4,44 mph,US 91,,,,
82931036,82937619,0,943678570,primary,False,60.033,North Main Street,"LINESTRING (-111.8339341 41.7765469, -111.8339533 41.7760072)",70.8,181.5,3.1,-0.01,0.01,172381.0931341467,4,44 mph,US 91,,,,
82931036,430715918,0,10085324,residential,False,279.598,2450 North,"LINESTRING (-111.8339341 41.7765469, -111.832278 41.7765198, -111.8320065 41.7765154, -111.8316283 41.7765092, -111.8309521 41.7764981, -111.8305631 41.7765018)",41.6,91.0,24.2,0.005,0.005,439123.9346672021,,,,,,,
430715918,82931036,0,10085324,residential,False,279.598,2450 North,"LINESTRING (-111.8305631 41.7765018, -111.8309521 41.7764981, -111.8316283 41.7765092, -111.8320065 41.7765154, -111.832278 41.7765198, -111.8339341 41.7765469)",41.6,271.0,24.2,-0.005,0.005,439049.2765150216,,,,,,,
430715918,7735233141,0,459441273,tertiary,False,208.63099999999997,Wolf Pack Way,"LINESTRING (-111.8305631 41.7765018, -111.8304321 41.7761265, -111.8302951 41.775849, -111.8299892 41.7754186, -111.8295982 41.7750228, -111.8293966 41.7748705)",45.1,151.9,16.7,0.01,0.01,357916.13900906785,,,,,,,
430715918,4552937046,0,459441273,tertiary,False,137.976,Wolf Pack Way,"LINESTRING (-111.8305631 41.7765018, -111.8305911 41.7765952, -111.8306392 41.7769725, -111.8306246 41.7773944, -111.8306136 41.7777384)",45.1,358.3,11.0,-0.002,0.002,236877.13322848867,,,,,,,
7735233141,7735233148,0,459441273,tertiary,False,235.315,Wolf Pack Way,"LINESTRING (-111.8293966 41.7748705, -111.8290842 41.7745995, -111.8288054 41.7742349, -111.8286531 41.7739909, -111.8285262 41.7737422, -111.8284471 41.7734706, -111.8283886 41.7732141, -111.8283486 41.77295)",45.1,157.9,18.8,0.01,0.01,403565.99713448074,,,,,,,
