u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,lanes,ref,maxspeed,bridge,width,junction,access,simple_model_e
82882138,82912410,0,"[10086320, 1062962471]",residential,False,147.508,"['1650 North', '1150 East']","LINESTRING (-111.8055208 41.7608255, -111.805508 41.7613005, -111.8043665 41.7613005)",41.6,61.1,12.8,0.034,0.034,,,,,,,,232106.59583053688
82882142,82912705,0,10083069,residential,False,17.77,Country Manor Drive,"LINESTRING (-111.8476873 41.7043382, -111.84769 41.7041784)",41.6,180.7,1.5,0.028,0.028,,,,,,,,28605.22688497191
82882142,4517461839,0,10080004,residential,False,57.961,East 1490 South Place,"LINESTRING (-111.8476873 41.7043382, -111.8475937 41.704328, -111.8469907 41.7043082)",41.6,93.3,5.0,-0.002,0.002,,,,,,,,91562.69852183083
82882142,82911896,0,10082958,residential,False,125.18599999999999,1500 South Place,"LINESTRING (-111.8476873 41.7043382, -111.8477674 41.7043407, -111.8482252 41.70435, -111.8483201 41.7043767, -111.8483864 41.704445, -111.8484624 41.704854, -111.8484462 41.7050046)",41.6,319.6,10.8,0.001,0.001,,,,,,,,197038.65004988734
82882142,82912703,0,10083069,residential,False,96.47,Country Manor Drive,"LINESTRING (-111.8476873 41.7043382, -111.847635 41.7046196, -111.8474855 41.7048665, -111.8472602 41.7051299)",41.6,21.9,8.3,0.004,0.004,,,,,,,,152020.78633226265
82882145,82882150,0,10080006,residential,False,162.90599999999998,Brookside Place,"LINESTRING (-111.827969 41.7408423, -111.8279633 41.740979, -111.8279516 41.7412753, -111.8279109 41.7414296, -111.8278592 41.7415374, -111.8278396 41.7416459, -111.8278165 41.7419298, -111.8278396 41.7419723, -111.8279009 41.7419989, -111.8282592 41.7420052)",41.6,349.5,14.1,-0.004,0.004,,,,,,,,256169.97017989252
82882145,10054796978,0,182952356,tertiary,False,82.25,500 North,"LINESTRING (-111.827969 41.7408423, -111.828317 41.740848, -111.82896 41.7408614)",45.1,271.5,6.6,-0.029,0.029,,,,,,,,141527.91636904236
82882145,82926558,0,182952356,tertiary,False,88.984,500 North,"LINESTRING (-111.827969 41.7408423, -111.8270847 41.7408268, -111.8268968 41.7408236)",45.1,91.3,7.1,0.025,0.025,,,,,,,,153200.61115269878
82882150,82882145,0,10080006,residential,False,162.90599999999998,Brookside Place,"LINESTRING (-111.8282592 41.7420052, -111.8279009 41.7419989, -111.8278396 41.7419723, -111.8278165 41.7419298, -111.8278396 41.7416459, -111.8278592 41.7415374, -111.8279109 41.7414296, -111.8279516 41.7412753, -111.8279633 41.740979, -111.827969 41.7408423)",41.6,169.5,14.1,0.004,0.004,,,,,,,,256085.03636754182
82882154,9744155841,0,10080007,residential,False,156.096,West 6600 South,"LINESTRING (-111.8327311 41.6124645, -111.8346087 41.6124595)",41.6,269.8,13.5,-0.006,0.006,,,,,,,,245442.44434972975
82882154,82912129,0,1012818366,primary,False,405.608,South 800 East,"LINESTRING (-111.8327311 41.6124645, -111.8327163 41.6161122)",72.4,0.2,20.2,-0.002,0.002,2,UT 165,45 mph,,,,,1173374.6568727342
