osmid,y,x,street_count,elevation,highway,geometry
428644585,41.7451539,-111.8385202,1,1374.797,turning_circle,POINT (-111.8385202 41.7451539)
428863569,41.6896552,-111.8506785,3,1372.172,,POINT (-111.8506785 41.6896552)
428863570,41.689639,-111.8517429,3,1372.309,,POINT (-111.8517429 41.689639)
428863593,41.6913088,-111.8493585,4,1371.262,,POINT (-111.8493585 41.6913088)
428863599,41.6906358,-111.8494186,3,1371.414,,POINT (-111.8494186 41.6906358)
428863625,41.6896555,-111.8486678,1,1372.03,turning_circle,POINT (-111.8486678 41.6896555)
428863633,41.6905453,-111.850712,1,1372.167,turning_circle,POINT (-111.850712 41.6905453)
428863663,41.6923599,-111.8486547,1,1371.085,turning_circle,POINT (-111.8486547 41.6923599)
428865675,41.6833415,-111.8523541,3,1375.672,,POINT (-111.8523541 41.6833415)
428865676,41.6833287,-111.8530922,3,1376.658,,POINT (-111.8530922 41.6833287)
428865677,41.6833084,-111.857211,3,1375.846,,POINT (-111.857211 41.6833084)
428865689,41.6823159,-111.8572188,4,1376.606,,POINT (-111.8572188 41.6823159)
428865690,41.6823094,-111.8575998,2,1376.073,,POINT (-111.8575998 41.6823094)
428865691,41.6823072,-111.8578019,3,1376.216,,POINT (-111.8578019 41.6823072)
428865711,41.6811774,-111.8571973,3,1376.737,,POINT (-111.8571973 41.6811774)
428865717,41.6787131,-111.857984,4,1375.718,,POINT (-111.857984 41.6787131)
428865727,41.6750122,-111.8576921,3,1375.374,,POINT (-111.8576921 41.6750122)
428865749,41.6811958,-111.8536882,1,1378.139,turning_circle,POINT (-111.8536882 41.6811958)
428867856,41.6790209,-111.8522937,3,1380.294,,POINT (-111.8522937 41.6790209)
428867870,41.6787908,-111.8620019,4,1373.811,,POINT (-111.8620019 41.6787908)
428867896,41.6789953,-111.8568516,3,1377.514,,POINT (-111.8568516 41.6789953)
428867974,41.6690707,-111.861315,3,1374.643,,POINT (-111.861315 41.6690707)
428868011,41.678944,-111.8532724,3,1379.57,,POINT (-111.8532724 41.678944)
428868035,41.6795082,-111.8553152,1,1378.641,turning_circle,POINT (-111.8553152 41.6795082)
428875167,41.6863542,-111.8524323,3,1374.411,,POINT (-111.8524323 41.6863542)
428875184,41.6895647,-111.8662849,3,1364.676,,POINT (-111.8662849 41.6895647)
428875188,41.689462,-111.8646076,3,1365.646,,POINT (-111.8646076 41.689462)
428875207,41.6899626,-111.861175,3,1366.619,,POINT (-111.861175 41.6899626)
428875209,41.6894586,-111.860448,4,1366.906,,POINT (-111.860448 41.6894586)
428875229,41.688531,-111.857295,4,1369.302,,POINT (-111.857295 41.688531)
428875240,41.6886756,-111.8563918,3,1370.31,,POINT (-111.8563918 41.6886756)
428875272,41.6884395,-111.8536789,3,1371.754,,POINT (-111.8536789 41.6884395)
428875377,41.6866821,-111.8539085,4,1373.149,,POINT (-111.8539085 41.6866821)
428875390,41.6871875,-111.8560104,1,1372.197,turning_circle,POINT (-111.8560104 41.6871875)
428875392,41.6863414,-111.8561048,1,1373.497,turning_circle,POINT (-111.8561048 41.6863414)
428875414,41.6872121,-111.8535701,1,1373.774,turning_circle,POINT (-111.8535701 41.6872121)
428875456,41.6908459,-111.8598232,1,1367.921,turning_circle,POINT (-111.8598232 41.6908459)
428875480,41.6893385,-111.8572943,3,1368.046,,POINT (-111.8572943 41.6893385)
428875490,41.6880335,-111.8561306,1,1371.084,turning_circle,POINT (-111.8561306 41.6880335)
428875496,41.6880563,-111.8550269,1,1372.243,turning_circle,POINT (-111.8550269 41.6880563)
428878512,41.6787795,-111.8591269,3,1374.776,,POINT (-111.8591269 41.6787795)
428878517,41.6803665,-111.8585994,1,1376.191,turning_circle,POINT (-111.8585994 41.6803665)
428954874,41.7444602,-111.8456879,1,1369.32,turning_circle,POINT (-111.8456879 41.7444602)
428959019,41.7377404,-111.8261022,3,1398.305,,POINT (-111.8261022 41.7377404)
428959026,41.7382515,-111.8260312,1,1399.252,,POINT (-111.8260312 41.7382515)
428988217,41.7330244,-111.81513,3,1393.429,,POINT (-111.81513 41.7330244)
428988218,41.7338151,-111.817885,3,1392.005,,POINT (-111.817885 41.7338151)
428988219,41.7353834,-111.8139013,1,1395.882,,POINT (-111.8139013 41.7353834)
428988221,41.7340148,-111.8186232,1,1391.826,turning_circle,POINT (-111.8186232 41.7340148)
428988222,41.7333693,-111.8160553,1,1392.9,turning_circle,POINT (-111.8160553 41.7333693)
